customer_id,age,Age_groups,gender,city,annual_income,spend_score,total_orders,avg_order_value,last_purchase_days_ago,loyalty_status,preferred_channel,Profile_richness,spend score blanks%
CUST100143,39,,,Pune,1800000,74,75,1800,91,Platinum,In-store,Lower,
CUST100144,44,,Female,,550000,99,6,2300,89,Platinum,Website,Higher,
CUST100145,52,,,Bengaluru,475000,7,3,1200,320,Platinum,Online,Lower,
CUST100146,18,,Male,Chennai,350000,13,14,10800,92,Gold,,Higher,
CUST100147,52,,,Bengaluru,1675000,68,66,600,150,,Mobile App,Lower,
CUST100148,54,,Male,Mumbai,650000,43,75,4600,234,Gold,In-store,Higher,
CUST100149,64,,Unknown,,,57,67,1000,337,Gold,Website,Lower,
CUST100150,31,,Male,Hyderabad,1050000,36,31,11300,59,Gold,Website,Higher,
CUST100151,20,,Male,Mumbai,400000,14,33,11900,185,Silver,In-store,Higher,
CUST100152,18,,Male,Mumbai,625000,82,1,5700,44,,Website,Higher,
CUST100153,22,,Female,Delhi,1000000,72,44,2100,180,Silver,,Higher,
CUST100154,43,,Male,Chennai,1450000,96,15,11300,76,Silver,Website,Higher,
CUST100155,NA,,Female,Pune,1300000,27,37,6600,144,,Online,Higher,
CUST100156,31,,Female,Ahmedabad,,37,27,4200,101,Silver,Mobile App,Higher,
CUST100157,56,,Female,Bengaluru,1425000,87,48,10600,272,,,Higher,
CUST100158,44,,,Mumbai,325000,71,27,5300,55,,In-store,Lower,
CUST100159,26,,,Bengaluru,225000,76,12,1100,189,,Mobile App,Lower,
CUST100160,32,,Unknown,Bengaluru,800000,25,67,3200,351,Platinum,,Lower,
CUST100161,32,,Male,Hyderabad,1225000,67,30,5800,335,Gold,,Higher,
CUST100162,43,,Unknown,Chennai,1125000,90,66,8300,77,,Mobile App,Lower,
CUST100163,59,,Female,Chennai,1300000,4,7,10600,296,,Website,Higher,
CUST100164,30,,Unknown,,1225000,100,34,4600,219,Silver,,Lower,
CUST100165,68,,Male,Kolkata,1325000,79,32,6100,277,,In-store,Higher,
CUST100166,49,,Female,Chennai,1425000,96,39,1700,66,Bronze,In-store,Higher,
CUST100167,56,,,Bengaluru,1825000,93,43,7000,136,Silver,Online,Lower,
CUST100168,66,,Female,Pune,400000,74,43,7200,234,Silver,Website,Higher,
CUST100169,69,,,Bengaluru,unknown,85,78,6300,199,,Online,Lower,
CUST100170,49,,Male,Pune,1950000,16,3,8200,266,Bronze,Online,Higher,
CUST100171,21,,Female,,225000,19,46,9200,43,Bronze,Website,Higher,
CUST100172,47,,Female,Pune,,29,32,10300,361,Platinum,,Higher,
CUST100173,54,,Male,Chennai,1950000,51,43,2500,228,Silver,,Higher,
CUST100174,40,,Male,Hyderabad,unknown,18,,7900,227,Gold,Online,Higher,
CUST100175,56,,Female,Pune,1325000,58,3,4900,63,,Mobile App,Higher,
CUST100176,62,,,Bengaluru,775000,44,74,1900,171,Silver,,Lower,
CUST100177,32,,Female,Ahmedabad,unknown,16,63,5900,250,Gold,,Higher,
CUST100178,60,,Female,Chennai,1100000,65,40,5600,338,Gold,Website,Higher,
CUST100179,46,,Male,Ahmedabad,1575000,2,18,9300,250,,In-store,Higher,
CUST100180,53,,Unknown,,600000,56,67,5400,307,Silver,,Lower,
CUST100181,30,,Female,,unknown,79,62,2400,238,,Online,Higher,
CUST100182,49,,,Bengaluru,unknown,28,10,10300,56,Platinum,Mobile App,Lower,
CUST100183,24,,Male,,1575000,65,52,8500,171,Gold,,Higher,
CUST100184,68,,Female,Kolkata,825000,5,73,4100,34,Bronze,Website,Higher,
CUST100185,39,,Female,,1775000,22,46,10100,315,Gold,In-store,Higher,
CUST100186,45,,,Chennai,375000,100,55,1500,130,Platinum,,Lower,
CUST100187,19,,Female,Ahmedabad,unknown,13,46,8000,130,Gold,Mobile App,Higher,
CUST100188,59,,Unknown,Bengaluru,1575000,65,75,11400,151,,In-store,Lower,
CUST100189,62,,Female,Kolkata,1950000,16,60,9700,143,Silver,Website,Higher,
CUST100190,,,Female,Bengaluru,475000,86,26,11100,118,Bronze,,Higher,
CUST100191,23,,,Kolkata,500000,64,27,6800,204,,,Lower,
CUST100192,45,,Male,,950000,32,38,11200,235,,Online,Higher,
CUST100193,45,,Unknown,,550000,80,22,5400,17,Silver,Website,Lower,
CUST100194,61,,Male,Pune,725000,51,26,10500,82,Bronze,Mobile App,Higher,
CUST100195,61,,Female,Delhi,875000,79,69,10300,14,Platinum,,Higher,
CUST100196,37,,Female,Bengaluru,1675000,58,35,1600,81,Gold,,Higher,
CUST100197,47,,Male,Pune,450000,46,66,7500,207,Bronze,In-store,Higher,
CUST100198,28,,Male,Chennai,1675000,52,73,7600,204,,,Higher,
CUST100199,NA,,,Pune,1300000,63,51,6500,272,Platinum,,Lower,
CUST100200,45,,Female,Mumbai,525000,76,18,7300,32,Silver,Mobile App,Higher,
CUST100201,42,,Female,,1775000,60,43,3000,23,Bronze,Online,Higher,
CUST100202,56,,Male,Mumbai,1200000,65,12,11200,102,Platinum,,Higher,
CUST100203,50,,Male,Bengaluru,325000,81,3,9100,162,Silver,,Higher,
CUST100204,18,,,Ahmedabad,200000,55,7,4800,98,,Online,Lower,
CUST100205,44,,,Ahmedabad,425000,57,6,3000,144,Gold,Online,Lower,
CUST100206,69,,Male,Chennai,525000,92,45,400,104,Platinum,In-store,Higher,
CUST100207,30,,Unknown,Pune,1600000,71,39,1900,324,,,Lower,
CUST100208,58,,Female,Ahmedabad,1350000,73,51,6100,171,,In-store,Higher,
CUST100209,20,,Male,Kolkata,1700000,86,9,5400,64,,Online,Higher,
CUST100210,56,,,Kolkata,1675000,26,23,600,244,Silver,Website,Lower,
CUST100211,23,,,Chennai,1350000,12,12,7900,71,Bronze,Online,Lower,
CUST100212,25,,Male,,1400000,71,62,8400,274,Gold,In-store,Higher,
CUST100213,44,,Male,,950000,46,73,500,125,Silver,Mobile App,Higher,
CUST100214,26,,Male,Pune,875000,47,77,11700,317,Platinum,Mobile App,Higher,
CUST100215,54,,Female,Bengaluru,1600000,79,40,3900,331,Gold,,Higher,
CUST100216,50,,Unknown,Hyderabad,,38,54,9900,107,,,Lower,
CUST100217,68,,Female,Hyderabad,500000,21,,10700,148,Gold,Mobile App,Higher,
CUST100218,59,,Female,Hyderabad,700000,14,7,2600,192,,In-store,Higher,
CUST100219,61,,Male,Ahmedabad,1250000,2,17,7400,337,Silver,Mobile App,Higher,
CUST100220,41,,Female,,1675000,72,50,3700,226,Bronze,Website,Higher,
CUST100221,32,,,,1900000,70,24,400,242,,Online,Lower,
CUST100222,,,,Pune,500000,,2,3500,362,Gold,Online,Lower,
CUST100223,49,,,Pune,1275000,,33,7800,284,Bronze,In-store,Lower,
CUST100224,49,,Male,,1725000,33,21,8800,163,Bronze,,Higher,
CUST100225,41,,Female,Chennai,1275000,6,74,7900,8,,Online,Higher,
CUST100226,58,,Female,Pune,1525000,90,53,1200,347,Gold,Mobile App,Higher,
CUST100227,69,,Male,Chennai,1225000,37,46,8300,152,Gold,Website,Higher,
CUST100228,66,,,Mumbai,,14,45,6400,322,Bronze,,Lower,
CUST100229,66,,,Kolkata,850000,37,9,4500,95,Platinum,,Lower,
CUST100230,69,,,,1675000,8,6,7100,214,Platinum,,Lower,
CUST100231,29,,Male,Pune,1425000,77,51,6100,64,Gold,Online,Higher,
CUST100232,56,,Female,,1475000,13,35,1100,65,Bronze,,Higher,
CUST100233,19,,Female,Kolkata,1550000,40,53,7900,270,Bronze,,Higher,
CUST100234,20,,Male,Kolkata,1775000,92,19,6200,25,Silver,In-store,Higher,
CUST100235,66,,,Delhi,675000,58,69,6500,100,Bronze,Mobile App,Lower,
CUST100236,54,,,,625000,18,25,5400,105,,,Lower,
CUST100237,66,,,,950000,57,11,2500,131,Platinum,Website,Lower,
CUST100238,34,,,,1925000,83,74,3200,321,Silver,Mobile App,Lower,
CUST100239,66,,Unknown,Pune,750000,38,17,4500,19,,In-store,Lower,
CUST100240,19,,Male,Bengaluru,1275000,32,36,,225,Platinum,In-store,Higher,
CUST100241,19,,Male,Mumbai,1950000,86,21,7000,106,,,Higher,
CUST100242,45,,Unknown,Chennai,1550000,66,18,2300,54,,Mobile App,Lower,
CUST100243,,,Unknown,Bengaluru,250000,77,60,4500,226,Gold,Online,Lower,
CUST100244,40,,,Mumbai,1500000,87,18,7500,360,,In-store,Lower,
CUST100245,54,,Female,Bengaluru,1650000,25,1,900,15,Gold,,Higher,
CUST100246,49,,,Chennai,325000,92,14,1800,48,Platinum,Website,Lower,
CUST100247,50,,Female,Ahmedabad,525000,58,8,2500,139,Platinum,Website,Higher,
CUST100248,18,,Female,,1325000,75,66,6000,34,,In-store,Higher,
CUST100249,36,,Male,Bengaluru,1650000,33,51,8900,355,,,Higher,
CUST100250,19,,,Pune,500000,88,79,3300,210,Gold,Mobile App,Lower,
CUST100251,,,Male,,1750000,66,60,7100,19,Gold,Website,Higher,
CUST100252,61,,Male,Hyderabad,675000,30,34,800,196,Silver,,Higher,
CUST100253,43,,Female,Pune,200000,81,36,11700,326,Bronze,,Higher,
CUST100254,49,,Unknown,Chennai,1475000,34,62,6700,115,,Online,Lower,
CUST100255,23,,,,475000,,1,6100,352,,In-store,Lower,
CUST100256,49,,Female,Pune,1025000,86,42,11400,75,Silver,,Higher,
CUST100257,NA,,Male,Kolkata,1800000,69,1,3000,150,Platinum,Mobile App,Higher,
CUST100258,21,,Male,,375000,48,54,2000,36,,Website,Higher,
CUST100259,NA,,,,1350000,40,47,9000,242,,Online,Lower,
CUST100260,28,,Male,Kolkata,1750000,51,39,7900,151,Gold,Mobile App,Higher,
CUST100261,34,,Male,Pune,1550000,80,30,9900,63,Silver,Website,Higher,
CUST100262,55,,,Mumbai,800000,13,7,1200,154,,In-store,Lower,
CUST100263,41,,Male,Delhi,,90,22,900,188,,Mobile App,Higher,
CUST100264,22,,Male,Mumbai,250000,31,50,3900,223,,Website,Higher,
CUST100265,69,,Female,,1900000,39,45,9800,93,Bronze,Online,Higher,
CUST100266,51,,,,1550000,63,74,4700,5,Gold,Website,Lower,
CUST100267,23,,,,500000,48,72,8800,166,,,Lower,
CUST100268,39,,,,,87,10,1800,25,Gold,Online,Lower,
CUST100269,28,,Female,Kolkata,875000,48,14,9000,98,,Mobile App,Higher,
CUST100270,65,,Unknown,Delhi,625000,61,46,11800,268,Silver,,Lower,
CUST100271,33,,,Pune,1050000,12,75,,150,,In-store,Lower,
CUST100272,50,,Male,Chennai,200000,78,6,1600,252,,Online,Higher,
CUST100273,26,,Male,Mumbai,1950000,56,21,1300,84,,Online,Higher,
CUST100274,23,,,Mumbai,1150000,18,62,8500,285,Silver,Online,Lower,
CUST100275,33,,,Hyderabad,1100000,27,19,8900,172,Gold,Website,Lower,
CUST100276,46,,,Delhi,775000,28,62,3600,221,Gold,,Lower,
CUST100277,20,,Male,Chennai,175000,82,53,6200,109,,,Higher,
CUST100278,37,,Female,Mumbai,700000,80,24,10600,27,,In-store,Higher,
CUST100279,53,,Male,Chennai,700000,52,56,1500,246,Silver,In-store,Higher,
CUST100280,36,,Male,Pune,525000,16,62,4100,55,Platinum,,Higher,
CUST100281,43,,,,350000,77,34,4600,133,Gold,Website,Lower,
CUST100282,20,,Female,Chennai,450000,58,22,3000,52,Platinum,Website,Higher,
CUST100283,36,,,Mumbai,825000,93,68,4200,253,,,Lower,
CUST100284,37,,,Kolkata,800000,9,57,1800,269,Platinum,,Lower,
CUST100285,49,,,Delhi,1400000,26,10,5200,298,,Mobile App,Lower,
CUST100286,24,,Male,,1725000,28,66,11700,79,,Website,Higher,
CUST100287,69,,Male,Bengaluru,1425000,77,8,3000,18,Platinum,Online,Higher,
CUST100288,58,,,Ahmedabad,1075000,36,38,7000,306,,In-store,Lower,
CUST100289,50,,Male,Ahmedabad,1750000,9,62,9400,258,Gold,Website,Higher,
CUST100290,57,,Male,Bengaluru,575000,47,28,6200,343,,,Higher,
CUST100291,56,,Female,Chennai,1700000,78,10,1400,107,Platinum,Online,Higher,
CUST100292,35,,Male,Delhi,1400000,51,45,1800,47,Gold,Mobile App,Higher,
CUST100293,57,,Male,Chennai,350000,76,65,5500,246,Platinum,,Higher,
CUST100294,18,,Female,,450000,57,67,5600,89,Gold,Mobile App,Higher,
CUST100295,28,,Female,Delhi,1125000,32,9,5100,203,,Online,Higher,
CUST100296,45,,Unknown,Bengaluru,1500000,,5,3800,240,,Online,Lower,
CUST100297,42,,,Chennai,1200000,67,10,6400,268,,,Lower,
CUST100298,67,,,Hyderabad,1225000,57,12,8600,13,,,Lower,
CUST100299,40,,,Mumbai,1825000,54,58,2800,137,Silver,,Lower,
CUST100300,48,,Male,Kolkata,950000,16,21,5800,315,Gold,In-store,Higher,
CUST100301,47,,Male,,725000,62,21,9200,173,Gold,,Higher,
CUST100302,59,,Female,Kolkata,1025000,84,65,2400,230,Platinum,,Higher,
CUST100303,52,,,,375000,96,3,7500,198,,In-store,Lower,
CUST100304,24,,Male,Chennai,625000,56,69,7100,243,Bronze,Mobile App,Higher,
CUST100305,33,,Female,Pune,,23,64,8300,43,,Online,Higher,
CUST100306,43,,Male,Delhi,425000,17,49,5100,330,Bronze,Mobile App,Higher,
CUST100307,65,,,Chennai,1675000,80,72,10000,279,Silver,,Lower,
CUST100308,69,,Female,Delhi,575000,38,17,400,79,,Website,Higher,
CUST100309,66,,,,1700000,72,73,5500,279,Gold,,Lower,
CUST100310,19,,,Hyderabad,750000,83,32,,232,Bronze,Website,Lower,
CUST100311,18,,Unknown,Kolkata,425000,30,70,900,101,Silver,Online,Lower,
CUST100312,65,,Unknown,Mumbai,650000,58,21,10200,162,,Online,Lower,
CUST100313,29,,Female,,750000,98,7,7900,144,Silver,,Higher,
CUST100314,22,,Male,,400000,78,7,2200,109,,Online,Higher,
CUST100315,54,,,Kolkata,1725000,22,27,9600,233,Bronze,In-store,Lower,
CUST100316,49,,Male,,1950000,17,8,3200,111,Platinum,In-store,Higher,
CUST100317,NA,,Male,Pune,1375000,15,73,7700,232,Platinum,Website,Higher,
CUST100318,26,,Female,Pune,1675000,48,28,9700,238,,Mobile App,Higher,
CUST100319,58,,Male,Ahmedabad,1350000,32,79,6900,197,Silver,,Higher,
CUST100320,52,,,Ahmedabad,475000,77,66,6100,273,Gold,Mobile App,Lower,
CUST100321,36,,Male,Pune,150000,85,71,6800,86,Bronze,Website,Higher,
CUST100322,65,,Unknown,Bengaluru,750000,40,47,11400,295,Platinum,In-store,Lower,
CUST100323,33,,Male,Hyderabad,1600000,97,10,500,41,Platinum,,Higher,
CUST100324,20,,Male,Delhi,1925000,57,33,5800,48,Silver,,Higher,
CUST100325,37,,Male,Hyderabad,1850000,58,7,8100,77,Platinum,Website,Higher,
CUST100326,41,,,,250000,91,3,1900,178,Silver,Mobile App,Lower,
CUST100327,,,,,600000,99,14,11400,257,Bronze,Website,Lower,
CUST100328,50,,Male,Mumbai,700000,16,44,5400,117,Silver,Website,Higher,
CUST100329,41,,Female,,350000,28,46,900,19,Platinum,Online,Higher,
CUST100330,69,,Male,Hyderabad,1375000,98,61,11400,59,Silver,In-store,Higher,
CUST100331,28,,Female,Pune,525000,1,36,700,196,Platinum,,Higher,
CUST100332,66,,Female,Kolkata,950000,41,13,10000,107,,Online,Higher,
CUST100333,25,,Female,,175000,48,16,9900,284,,In-store,Higher,
CUST100334,53,,Male,Pune,475000,31,,5600,34,Platinum,Website,Higher,
CUST100335,55,,Unknown,Hyderabad,150000,36,5,6300,295,Platinum,In-store,Lower,
CUST100336,57,,,Kolkata,1575000,33,38,11100,251,Platinum,Mobile App,Lower,
CUST100337,37,,,Mumbai,525000,33,50,1800,126,,,Lower,
CUST100338,52,,Male,Hyderabad,1300000,82,38,10300,339,,Online,Higher,
CUST100339,65,,,Delhi,1225000,23,56,6900,106,Gold,,Lower,
CUST100340,42,,,Chennai,475000,60,63,6100,180,Platinum,Website,Lower,
CUST100341,52,,,Kolkata,725000,87,48,4900,110,Gold,Mobile App,Lower,
CUST100342,42,,Unknown,Hyderabad,1500000,79,59,5000,228,Bronze,In-store,Lower,
CUST100343,46,,,Pune,500000,90,77,10900,121,,In-store,Lower,
CUST100344,35,,Male,Delhi,1925000,30,44,11700,107,Silver,Mobile App,Higher,
CUST100345,63,,,Bengaluru,975000,89,55,6600,131,Gold,In-store,Lower,
